,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.927,3.0,0.759,6.036574602127075
KLR_p,0.927,3.0,0.759,4043.754482030869
KLR_f,0.927,3.0,0.759,3970.2407574653625
LRG_nystroem_p,0.879,3.0,0.759,81.00609302520752
LRG_nystroem_f,0.879,3.0,0.759,81.16105556488037
SVM_p,0.879,3.0,0.759,70.81090331077576
SVM_f,0.927,3.0,0.759,67.71545839309692
LRG_linear,0.927,3.0,0.759,0.621929407119751
SVM_linear,0.927,3.0,0.759,0.5783073902130127
KNNC_10%,0.939,3.0,0.759,15.211114883422852
KNNC_50%,0.939,3.0,0.759,91.37590312957764
KNNM_10%,0.927,3.0,0.759,15.766427516937256
KNNM_50%,0.927,3.0,0.759,91.13336420059204
MLP,0.939,3.0,0.759,22.50492262840271
KNNC_W_50%,0.77,6.0,0.54,939.0940544605255
