,correlation,auc_position,auc_to_maxindex,time
IsoForest,-0.758,9.0,0.344,2.3790032863616943
KLR_p,0.006,9.0,0.344,53.36599612236023
KLR_f,-0.127,9.0,0.344,52.16368556022644
LRG_nystroem_p,0.43,1.0,0.958,4.89799952507019
LRG_nystroem_f,0.115,1.0,0.958,4.848999977111816
SVM_p,0.612,1.0,0.958,5.161999702453613
SVM_f,0.685,1.0,0.958,3.527998924255371
LRG_linear,-0.03,1.0,0.958,1.773387432098389
SVM_linear,0.467,1.0,0.958,0.0330595970153808
KNNC_10%,-0.309,9.0,0.344,0.1690003871917724
KNNC_50%,-0.479,9.0,0.344,0.8710002899169922
KNNM_10%,-0.127,9.0,0.344,0.2490031719207763
KNNM_50%,-0.394,9.0,0.344,1.0829997062683103
MLP,-0.648,10.0,0.271,3.944002628326416
KNNC_W_50%,-0.503,9.0,0.344,8.105013370513916
