,correlation,auc_position,auc_to_maxindex,time
IsoForest,0.891,1.0,0.997,5.930044651031494
KLR_p,0.697,2.0,0.936,6353.454943656921
KLR_f,0.721,2.0,0.936,6323.97777056694
LRG_nystroem_p,0.685,2.0,0.936,39.87266564369202
LRG_nystroem_f,0.685,2.0,0.936,44.35973930358887
SVM_p,0.697,2.0,0.936,45.018683671951294
SVM_f,0.697,2.0,0.936,44.47639083862305
LRG_linear,0.721,2.0,0.936,0.2748663425445556
SVM_linear,0.721,2.0,0.936,0.2729766368865967
KNNC_10%,0.83,2.0,0.936,9.195705652236938
KNNC_50%,0.879,2.0,0.936,48.287128925323486
KNNM_10%,0.721,2.0,0.936,9.298187971115112
KNNM_50%,0.782,2.0,0.936,48.864558696746826
MLP,0.952,1.0,0.997,8.3695707321167
KNNC_W_50%,0.879,2.0,0.936,519.0198655128479
