,Hepatitis_withoutdupl_norm_05_v01,Hepatitis_withoutdupl_norm_05_v02,Hepatitis_withoutdupl_norm_05_v03,Hepatitis_withoutdupl_norm_05_v04,Hepatitis_withoutdupl_norm_05_v05,Hepatitis_withoutdupl_norm_05_v06,Hepatitis_withoutdupl_norm_05_v07,Hepatitis_withoutdupl_norm_05_v08,Hepatitis_withoutdupl_norm_05_v09,Hepatitis_withoutdupl_norm_05_v10,Arrhythmia_withoutdupl_norm_05_v01,Arrhythmia_withoutdupl_norm_05_v02,Arrhythmia_withoutdupl_norm_05_v03,Arrhythmia_withoutdupl_norm_05_v04,Arrhythmia_withoutdupl_norm_05_v05,Arrhythmia_withoutdupl_norm_05_v06,Arrhythmia_withoutdupl_norm_05_v07,Arrhythmia_withoutdupl_norm_05_v08,Arrhythmia_withoutdupl_norm_05_v09,Arrhythmia_withoutdupl_norm_05_v10,Parkinson_withoutdupl_norm_05_v01,Parkinson_withoutdupl_norm_05_v02,Parkinson_withoutdupl_norm_05_v03,Parkinson_withoutdupl_norm_05_v04,Parkinson_withoutdupl_norm_05_v05,Parkinson_withoutdupl_norm_05_v06,Parkinson_withoutdupl_norm_05_v07,Parkinson_withoutdupl_norm_05_v08,Parkinson_withoutdupl_norm_05_v09,Parkinson_withoutdupl_norm_05_v10,WBC_withoutdupl_norm_v01,WBC_withoutdupl_norm_v02,WBC_withoutdupl_norm_v03,WBC_withoutdupl_norm_v04,WBC_withoutdupl_norm_v05,WBC_withoutdupl_norm_v06,WBC_withoutdupl_norm_v07,WBC_withoutdupl_norm_v08,WBC_withoutdupl_norm_v09,WBC_withoutdupl_norm_v10,Lymphography_withoutdupl_norm_1ofn,Lymphography_withoutdupl_norm_idf
IsoForest,0.37,0.782,0.758,0.77,0.552,0.188,0.115,0.564,0.527,0.612,0.855,0.855,0.879,0.927,0.855,0.758,0.867,0.782,0.491,0.709,0.547,0.232,0.329,-0.758,0.309,0.406,-0.139,-0.564,-0.321,0.212,0.794,0.564,0.382,0.879,0.891,0.588,0.927,0.939,0.952,0.867,0.576,0.115
KLR_p,0.539,0.77,0.527,0.733,0.636,0.43,0.297,0.624,0.527,0.842,0.842,0.927,0.952,0.927,0.891,0.552,0.903,0.721,0.418,0.758,0.559,0.561,0.524,0.006,0.212,0.661,0.164,0.164,0.333,-0.248,0.612,0.236,0.248,0.176,0.697,0.467,0.733,0.745,0.939,0.782,0.418,-0.188
KLR_f,0.491,0.77,0.539,0.758,0.636,0.309,0.285,0.624,0.527,0.806,0.842,0.927,0.952,0.927,0.891,0.721,0.867,0.721,0.418,0.758,0.571,0.561,0.523,-0.127,0.212,0.673,0.212,0.103,0.333,-0.152,0.612,0.164,0.248,0.164,0.721,0.539,0.733,0.806,0.939,0.782,0.418,-0.018
LRG_nystroem_p,0.527,0.77,0.467,0.721,0.648,0.43,0.333,0.624,0.527,0.806,0.842,0.927,0.927,0.879,0.891,0.564,0.927,0.648,0.382,0.782,0.365,0.561,0.524,0.43,0.188,0.624,0.212,0.212,0.43,-0.285,0.588,0.164,0.248,0.176,0.685,0.479,0.636,0.661,0.952,0.782,0.176,-0.273
LRG_nystroem_f,0.564,0.77,0.539,0.818,0.6,0.309,0.333,0.612,0.527,0.77,0.842,0.927,0.927,0.879,0.891,0.564,0.927,0.648,0.382,0.782,0.559,0.561,0.524,0.115,0.261,0.697,0.212,0.103,0.394,-0.273,0.576,0.018,0.321,0.261,0.685,0.552,0.636,0.77,0.952,0.782,0.176,-0.236
SVM_p,0.527,0.758,0.467,0.758,0.697,0.418,0.418,0.612,0.588,0.806,0.745,0.927,0.939,0.879,0.927,0.43,0.891,0.673,0.418,0.818,0.073,0.561,0.524,0.612,0.188,0.636,0.103,0.188,0.43,-0.467,0.673,0.236,0.248,0.224,0.697,0.467,0.745,0.685,0.939,0.782,0.406,-0.188
SVM_f,0.467,0.709,0.37,0.612,0.648,0.43,0.467,0.685,0.661,0.818,0.842,0.927,0.939,0.927,0.903,0.564,0.903,0.733,0.382,0.758,0.073,0.561,0.524,0.685,0.261,0.576,0.261,0.297,0.382,-0.333,0.6,0.236,0.248,0.164,0.697,0.479,0.697,0.612,0.952,0.782,0.127,-0.273
LRG_linear,0.527,0.77,0.467,0.648,0.6,0.43,0.382,0.624,0.527,0.842,0.842,0.927,0.939,0.927,0.891,0.552,0.903,0.733,0.382,0.758,0.559,0.561,0.537,-0.03,0.188,0.697,0.212,0.006,0.345,-0.079,0.612,0.188,0.321,0.394,0.721,0.539,0.83,0.806,0.952,0.782,0.176,-0.236
SVM_linear,0.467,0.782,0.515,0.612,0.648,0.43,0.43,0.648,0.673,0.818,0.842,0.927,0.939,0.927,0.903,0.564,0.903,0.733,0.382,0.758,0.073,0.561,0.537,0.467,0.224,0.673,0.164,0.188,0.442,-0.491,0.576,0.224,0.248,0.261,0.721,0.552,0.733,0.745,0.939,0.758,0.176,-0.273
KNNC_10%,0.442,0.806,0.636,0.758,0.636,0.212,0.285,0.576,0.491,0.782,0.842,0.927,0.952,0.939,0.855,0.721,0.879,0.733,0.418,0.782,0.547,0.559,0.524,-0.309,0.261,0.515,0.067,-0.018,0.103,0.176,0.745,0.309,0.358,0.842,0.83,0.588,0.927,0.903,0.939,0.867,0.576,0.224
KNNC_50%,0.442,0.806,0.855,0.721,0.758,0.176,0.188,0.564,0.479,0.782,0.842,0.867,0.952,0.939,0.855,0.709,0.879,0.721,0.491,0.758,0.547,0.561,0.523,-0.479,0.358,0.37,0.079,-0.079,-0.006,0.224,0.782,0.455,0.406,0.879,0.879,0.661,0.927,0.903,0.939,0.891,0.77,0.224
KNNM_10%,0.503,0.806,0.564,0.758,0.636,0.285,0.285,0.576,0.539,0.806,0.842,0.915,0.952,0.927,0.855,0.721,0.879,0.721,0.394,0.782,0.547,0.561,0.524,-0.127,0.321,0.624,0.212,-0.03,0.273,0.115,0.612,0.273,0.321,0.406,0.721,0.539,0.83,0.806,0.915,0.83,0.188,0.018
KNNM_50%,0.442,0.782,0.588,0.745,0.636,0.236,0.285,0.564,0.527,0.794,0.842,0.879,0.952,0.927,0.855,0.721,0.879,0.721,0.43,0.758,0.547,0.561,0.524,-0.394,0.321,0.552,0.115,-0.03,-0.103,0.127,0.745,0.309,0.358,0.636,0.782,0.588,0.891,0.879,0.939,0.867,0.576,0.115
MLP,0.455,0.818,0.479,0.77,0.867,0.37,0.224,0.576,0.588,0.733,0.891,0.903,0.952,0.939,0.867,0.758,0.867,0.721,0.479,0.709,0.778,0.549,0.535,-0.648,0.309,0.406,0.127,-0.139,0.212,0.527,0.794,0.6,0.418,0.976,0.952,0.709,0.988,0.952,0.939,0.891,0.115,0.333
KNNC_W_50%,0.636,0.43,0.624,0.491,0.455,-0.103,0.539,0.345,0.624,0.091,0.83,0.794,0.927,0.77,0.806,0.745,0.794,0.903,0.891,0.83,0.103,0.43,0.588,-0.503,0.406,0.576,-0.012,0.418,0.212,0.188,0.915,0.564,0.515,0.927,0.879,0.818,0.903,0.976,0.952,0.891,-0.067,-0.055
