,Hepatitis_withoutdupl_norm_05_v01,Hepatitis_withoutdupl_norm_05_v02,Hepatitis_withoutdupl_norm_05_v03,Hepatitis_withoutdupl_norm_05_v04,Hepatitis_withoutdupl_norm_05_v05,Hepatitis_withoutdupl_norm_05_v06,Hepatitis_withoutdupl_norm_05_v07,Hepatitis_withoutdupl_norm_05_v08,Hepatitis_withoutdupl_norm_05_v09,Hepatitis_withoutdupl_norm_05_v10,Parkinson_withoutdupl_norm_05_v01,Parkinson_withoutdupl_norm_05_v02,Parkinson_withoutdupl_norm_05_v03,Parkinson_withoutdupl_norm_05_v04,Parkinson_withoutdupl_norm_05_v05,Parkinson_withoutdupl_norm_05_v06,Parkinson_withoutdupl_norm_05_v07,Parkinson_withoutdupl_norm_05_v08,Parkinson_withoutdupl_norm_05_v09,Parkinson_withoutdupl_norm_05_v10,WBC_withoutdupl_norm_v01,WBC_withoutdupl_norm_v02,WBC_withoutdupl_norm_v03,WBC_withoutdupl_norm_v04,WBC_withoutdupl_norm_v05,WBC_withoutdupl_norm_v06,WBC_withoutdupl_norm_v07,WBC_withoutdupl_norm_v08,WBC_withoutdupl_norm_v09,WBC_withoutdupl_norm_v10,Lymphography_withoutdupl_norm_1ofn,Lymphography_withoutdupl_norm_idf
LogisticRegression_probability,0.842,0.758,0.503,0.612,0.733,0.236,0.721,0.661,0.176,0.576,0.506,0.644,0.802,-0.855,0.527,0.622,0.018,-0.382,-0.006,0.439,0.297,0.721,0.079,0.527,0.273,0.394,0.139,0.576,0.745,0.152,0.891,0.012
LogisticRegression_distance,0.818,0.758,0.503,0.612,0.733,0.188,0.6,0.576,0.176,0.491,0.506,0.865,0.778,-0.855,0.564,0.561,0.018,-0.43,0.139,0.439,0.333,0.709,0.164,0.527,0.273,0.467,0.176,0.576,0.745,0.152,0.891,0.012
SVC_probability,0.879,0.758,0.491,0.6,0.721,0.212,0.721,0.661,0.176,0.648,0.593,0.509,0.37,-0.527,0.418,0.549,0.067,-0.358,0.152,0.159,0.309,0.697,0.079,0.527,0.273,0.37,0.091,0.43,0.745,0.152,0.806,0.012
SVC_distance,0.782,0.709,0.539,0.6,0.721,0.479,0.77,0.733,0.321,0.648,0.593,0.509,0.333,0.103,0.455,0.549,0.733,-0.224,0.055,0.354,0.309,0.697,0.079,0.394,0.115,0.321,0.103,0.273,0.624,0.127,0.612,-0.341
KNNC_1,0.782,0.758,0.673,0.612,0.745,0.224,0.491,0.539,0.006,0.43,0.617,0.509,0.321,-0.842,0.564,0.561,0.018,-0.406,0.103,0.341,0.612,0.721,0.43,0.673,0.6,0.6,0.515,0.576,0.661,0.636,0.455,-0.098
KNNC_7,0.818,0.818,0.648,0.612,0.733,0.188,0.576,0.539,0.152,0.491,,,,,,,,,,,,,,,,,,,,,,
KNNC_35,0.806,0.806,0.709,0.661,0.794,0.188,0.612,0.588,0.127,0.491,,,,,,,,,,,,,,,,,,,,,,
LinearSVC_probability,0.782,0.745,0.503,0.709,0.636,0.212,0.661,0.733,0.176,0.576,0.617,0.656,0.778,-0.842,0.564,0.622,0.079,-0.612,0.139,0.268,0.576,0.806,0.479,0.564,0.648,0.564,0.758,0.794,0.685,0.745,0.673,0.073
LinearSVC_distance,0.782,0.77,0.588,0.6,0.721,0.418,0.721,0.733,0.236,0.648,0.593,0.62,0.741,-0.273,0.539,0.573,0.43,-0.503,0.067,0.207,0.552,0.867,0.345,0.539,0.43,0.564,0.479,0.733,0.648,0.648,0.721,-0.341
KNNM_1,,0.758,,0.612,,,,,0.006,0.43,,,,-0.842,,,,,,,,,,,,,,,,,,
KNNM_7,,0.806,,0.624,,,,,0.176,0.491,,,,,,,,,,,,,,,,,,,,,,
KNNM_35,,0.806,,0.588,,,,,0.176,0.491,,,,,,,,,,,,,,,,,,,,,,
KNNC_5,,,,,,,,,,,0.506,0.362,0.321,-0.855,0.455,0.561,0.018,-0.273,0.139,0.707,,,,,,,,,,,,
KNNC_25,,,,,,,,,,,0.506,0.362,0.284,-0.842,0.321,0.463,-0.067,-0.273,0.103,0.707,,,,,,,,,,,,
KNNM_5,,,,,,,,,,,,,,-0.842,,,,,,,,,,,,,,,,,,
KNNM_25,,,,,,,,,,,,,,-0.806,,,,,,,,,,,,,,,,,,
KNNC_22,,,,,,,,,,,,,,,,,,,,,0.612,0.697,0.43,0.842,0.709,0.6,0.83,0.77,0.709,0.685,,
KNNC_111,,,,,,,,,,,,,,,,,,,,,0.891,0.733,0.503,0.842,0.709,0.661,0.818,0.77,0.709,0.782,,
KNNC_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.855,0.354
KNNC_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.855,0.659
