,Hepatitis_withoutdupl_norm_05_v01,Hepatitis_withoutdupl_norm_05_v02,Hepatitis_withoutdupl_norm_05_v03,Hepatitis_withoutdupl_norm_05_v04,Hepatitis_withoutdupl_norm_05_v05,Hepatitis_withoutdupl_norm_05_v06,Hepatitis_withoutdupl_norm_05_v07,Hepatitis_withoutdupl_norm_05_v08,Hepatitis_withoutdupl_norm_05_v09,Hepatitis_withoutdupl_norm_05_v10,Arrhythmia_withoutdupl_norm_05_v01,Arrhythmia_withoutdupl_norm_05_v02,Arrhythmia_withoutdupl_norm_05_v03,Arrhythmia_withoutdupl_norm_05_v04,Arrhythmia_withoutdupl_norm_05_v05,Arrhythmia_withoutdupl_norm_05_v06,Arrhythmia_withoutdupl_norm_05_v07,Arrhythmia_withoutdupl_norm_05_v08,Arrhythmia_withoutdupl_norm_05_v09,Arrhythmia_withoutdupl_norm_05_v10,Parkinson_withoutdupl_norm_05_v01,Parkinson_withoutdupl_norm_05_v02,Parkinson_withoutdupl_norm_05_v03,Parkinson_withoutdupl_norm_05_v04,Parkinson_withoutdupl_norm_05_v05,Parkinson_withoutdupl_norm_05_v06,Parkinson_withoutdupl_norm_05_v07,Parkinson_withoutdupl_norm_05_v08,Parkinson_withoutdupl_norm_05_v09,Parkinson_withoutdupl_norm_05_v10,WBC_withoutdupl_norm_v01,WBC_withoutdupl_norm_v02,WBC_withoutdupl_norm_v03,WBC_withoutdupl_norm_v04,WBC_withoutdupl_norm_v05,WBC_withoutdupl_norm_v06,WBC_withoutdupl_norm_v07,WBC_withoutdupl_norm_v08,WBC_withoutdupl_norm_v09,WBC_withoutdupl_norm_v10,Lymphography_withoutdupl_norm_1ofn,Lymphography_withoutdupl_norm_idf
KLR_p,2.0,2.0,1.0,7.0,1.0,6.0,1.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,8.0,9.0,10.0,10.0,8.0,5.0,6.0,7.0,10.0,7.0,1.0,2.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,10.0
KLR_f,2.0,2.0,1.0,7.0,1.0,6.0,1.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,8.0,9.0,10.0,10.0,8.0,5.0,6.0,7.0,10.0,7.0,1.0,2.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,3.0
LRG_nystroem_p,2.0,2.0,1.0,7.0,3.0,6.0,1.0,3.0,7.0,7.0,3.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,7.0,9.0,10.0,4.0,1.0,5.0,6.0,7.0,10.0,7.0,1.0,2.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,10.0
LRG_nystroem_f,2.0,2.0,1.0,7.0,1.0,6.0,6.0,3.0,7.0,7.0,3.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,7.0,9.0,10.0,10.0,1.0,5.0,6.0,7.0,10.0,7.0,1.0,2.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,10.0
SVM_p,2.0,2.0,1.0,7.0,1.0,6.0,1.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,7.0,9.0,10.0,9.0,1.0,5.0,6.0,7.0,10.0,7.0,1.0,2.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,10.0
SVM_f,2.0,2.0,3.0,7.0,3.0,6.0,1.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,8.0,9.0,10.0,4.0,1.0,5.0,6.0,7.0,10.0,7.0,1.0,2.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,5.0,10.0
LRG_linear,2.0,2.0,1.0,7.0,1.0,6.0,1.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,8.0,9.0,10.0,10.0,8.0,5.0,6.0,7.0,10.0,7.0,2.0,4.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,10.0
SVM_linear,2.0,2.0,1.0,7.0,3.0,6.0,1.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,8.0,9.0,10.0,4.0,8.0,5.0,6.0,7.0,10.0,7.0,2.0,2.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,10.0
KNNC_10%,2.0,2.0,1.0,7.0,1.0,6.0,6.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,8.0,9.0,10.0,10.0,8.0,5.0,6.0,7.0,10.0,7.0,3.0,4.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,3.0
KNNC_50%,2.0,2.0,1.0,7.0,1.0,6.0,3.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,9.0,10.0,10.0,8.0,5.0,6.0,7.0,10.0,7.0,3.0,4.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,3.0
KNNM_10%,2.0,2.0,1.0,7.0,1.0,6.0,6.0,3.0,7.0,7.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,8.0,9.0,10.0,10.0,8.0,5.0,6.0,7.0,10.0,7.0,3.0,4.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,3.0
KNNM_50%,2.0,2.0,1.0,7.0,1.0,6.0,3.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,8.0,9.0,10.0,10.0,8.0,5.0,6.0,7.0,10.0,7.0,3.0,4.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,1.0,3.0
MLP,2.0,2.0,1.0,7.0,1.0,6.0,1.0,3.0,7.0,7.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,9.0,10.0,6.0,1.0,5.0,6.0,7.0,6.0,1.0,3.0,4.0,1.0,1.0,6.0,7.0,9.0,5.0,10.0,6.0,9.0,3.0
