,Arrhythmia_withoutdupl_norm_05_v09,Hepatitis_withoutdupl_norm_05_v04,Lymphography_withoutdupl_norm_idf,Parkinson_withoutdupl_norm_05_v02,WBC_withoutdupl_norm_v10
KLR_p,0.83,0.612,-0.515,0.358,0.152
KLR_f,0.83,0.612,-0.37,0.309,0.152
LRG_nystroem_p,0.867,0.6,-0.552,0.321,0.152
LRG_nystroem_f,0.818,0.612,-0.552,0.236,0.152
SVM_p,0.842,0.6,-0.515,0.345,0.152
SVM_f,0.879,0.6,-0.552,0.345,0.127
LRG_linear,0.879,0.6,-0.552,0.261,0.733
SVM_linear,0.879,0.6,-0.552,0.297,0.648
KNNC_10%,0.842,0.636,0.152,0.188,0.782
KNNC_50%,0.842,0.673,0.152,0.103,0.782
KNNM_10%,0.83,0.624,-0.248,0.188,0.77
KNNM_50%,0.794,0.588,0.006,0.103,0.782
MLP,0.758,0.479,0.552,-0.006,0.782
